Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
107,Harrison Barnes,PF,31,SAC,79,79,28.8,4.2,8.8,0.472,1.8,4.7,0.388,2.4,4.2,0.567,0.575,1.8,2.3,0.797,0.8,2.2,2.9,1.1,0.6,0.1,0.7,1.2,12
108,Nic Claxton,C,24,BRK,69,69,29.9,5.2,8.2,0.632,0,0.1,0.2,5.2,8.2,0.636,0.633,1.6,2.8,0.557,2.7,7.2,9.9,2.1,0.7,2.1,1.3,2.4,12
109,Buddy Hield,SF-SG,31,TOT,82,42,25.9,4.4,10.1,0.437,2.6,6.8,0.384,1.8,3.4,0.543,0.566,0.6,0.7,0.875,0.7,2.5,3.2,2.8,0.8,0.5,1.2,2,12
110,Tyus Jones,PG,27,WAS,66,66,29.3,4.9,10.1,0.489,1.6,3.9,0.414,3.3,6.2,0.537,0.569,0.5,0.6,0.8,0.3,2.4,2.7,7.3,1.1,0.3,1,0.7,12
111,Ivica Zubac,C,26,LAC,67,67,26.6,5,7.7,0.647,0,0,,5,7.7,0.647,0.647,1.8,2.5,0.723,2.9,6.4,9.3,1.4,0.3,1.2,1.2,2.7,11.7
112,Jaime Jaquez Jr.,SF,22,MIA,73,20,28.1,4.5,9.2,0.49,0.9,2.7,0.325,3.6,6.5,0.557,0.537,1.8,2.2,0.805,1.1,2.7,3.8,2.5,1,0.2,1.5,2.2,11.7
113,Jeremy Sochan,PF,20,SAS,74,73,29.6,4.6,10.5,0.438,0.9,3.1,0.308,3.6,7.4,0.492,0.483,1.5,1.9,0.771,1.9,4.6,6.4,3.4,0.8,0.5,1.9,2.3,11.6
114,Cole Anthony,PG,23,ORL,79,0,22.6,4.1,9.5,0.434,1.2,3.4,0.339,2.9,6,0.487,0.495,2.2,2.7,0.823,0.8,3.1,3.9,2.9,0.8,0.5,1.6,2.2,11.6
115,Clint Capela,C,29,ATL,72,72,25.8,4.8,8.5,0.569,0,0,0,4.8,8.5,0.57,0.569,1.8,2.8,0.632,4.6,6,10.6,1.2,0.6,1.5,1,2.3,11.4
116,Malik Beasley,SG,27,MIL,77,76,29.7,4,9.2,0.441,2.9,6.9,0.415,1.2,2.2,0.52,0.597,0.3,0.5,0.714,0.5,3.2,3.7,1.4,0.8,0.1,0.7,2,11.3
117,Mike Conley,PG,36,MIN,74,74,28.9,3.8,8.5,0.454,2.3,5.3,0.439,1.5,3.1,0.478,0.592,1.3,1.5,0.907,0.5,2.3,2.8,5.9,1.1,0.2,1.3,1.7,11.3
118,Russell Westbrook,PG,35,LAC,67,11,22.7,4.5,9.8,0.454,0.6,2.3,0.273,3.8,7.5,0.509,0.486,1.6,2.4,0.696,1.4,3.7,5.1,4.6,1.1,0.3,2.1,1.8,11.2
119,Zach Collins,C,26,SAS,67,28,22.2,4.3,8.9,0.482,0.8,2.6,0.313,3.5,6.3,0.552,0.528,1.7,2.3,0.742,1.7,3.6,5.3,2.8,0.5,0.8,1.9,3,11.1
120,Daniel Gafford,C-PF,25,TOT,73,65,24.7,4.7,6.5,0.725,0,0,,4.7,6.5,0.725,0.725,1.6,2.4,0.674,2.7,5,7.7,1.6,0.9,2.1,1,3.1,11.1
121,Eric Gordon,SG,35,PHO,67,24,28,4.1,9.1,0.445,2.2,5.9,0.382,1.8,3.3,0.559,0.568,0.8,1,0.797,0.2,1.6,1.8,2,1,0.4,1.1,1.2,11.1
122,Luguentz Dort,SF,24,OKC,77,77,28.7,3.7,8.4,0.439,2,5,0.395,1.7,3.4,0.506,0.557,1.6,2,0.824,1,2.7,3.6,1.4,0.9,0.6,1,2.9,11
